evaluation_split,variant,n_images,n_stems,n_clean_correct,n_adv_correct,n_attack_success,clean_attack_accuracy,adv_attack_accuracy,attack_success_rate_clean_correct,A_mean,clean_zero_cam_fraction,adv_zero_cam_fraction,cam_change_defined_fraction,pixel_linf_mean,pixel_linf_max,padding_max_abs_error,max_saved_probability_abs_error,attack_success_ci_low,attack_success_ci_high,clean_p_attack_mean,clean_p_attack_ci_low,clean_p_attack_ci_high,adv_p_attack_mean,adv_p_attack_ci_low,adv_p_attack_ci_high,clean_margin_mean,clean_margin_ci_low,clean_margin_ci_high,adv_margin_mean,adv_margin_ci_low,adv_margin_ci_high,E_clean_mean,E_clean_ci_low,E_clean_ci_high,E_adv_mean,E_adv_ci_low,E_adv_ci_high,mu_w_clean_mean,mu_w_clean_ci_low,mu_w_clean_ci_high,mu_w_adv_mean,mu_w_adv_ci_low,mu_w_adv_ci_high,PG_clean_mean,PG_clean_ci_low,PG_clean_ci_high,PG_adv_mean,PG_adv_ci_low,PG_adv_ci_high,delta_E_mean,delta_E_ci_low,delta_E_ci_high,absolute_E_degradation_mean,absolute_E_degradation_ci_low,absolute_E_degradation_ci_high,relative_E_change_mean,relative_E_change_ci_low,relative_E_change_ci_high,relative_E_degradation_mean,relative_E_degradation_ci_low,relative_E_degradation_ci_high,delta_mu_w_mean,delta_mu_w_ci_low,delta_mu_w_ci_high,absolute_mu_w_degradation_mean,absolute_mu_w_degradation_ci_low,absolute_mu_w_degradation_ci_high,relative_mu_w_change_mean,relative_mu_w_change_ci_low,relative_mu_w_change_ci_high,relative_mu_w_degradation_mean,relative_mu_w_degradation_ci_low,relative_mu_w_degradation_ci_high,delta_PG_mean,delta_PG_ci_low,delta_PG_ci_high,absolute_PG_degradation_mean,absolute_PG_degradation_ci_low,absolute_PG_degradation_ci_high,cam_cosine_mean,cam_cosine_ci_low,cam_cosine_ci_high,cam_tv_mean,cam_tv_ci_low,cam_tv_ci_high
dev_val,digital_1,153,51,153,0,153,1.0,0.0,1.0,0.1589752482919911,0.0,0.30718954248366015,0.6928104575163399,0.0039215851575136185,0.0039215851575136185,0.0,0.00023859739303588867,1.0,1.0,0.9997553934458814,0.9995842237293331,0.999889418560695,8.877064841598085e-05,5.522647229327965e-05,0.00012961705331527911,12.939187345941082,12.136511459148009,13.786781273791991,-12.367516383626104,-13.01384542229908,-11.750673302560072,0.7066456609302096,0.6772885249866769,0.7359110811128725,0.2214043467896047,0.18915601775257124,0.25200680335374925,4.774537435544082,4.461639331135095,5.09703271311093,1.5416319989690594,1.2780062093575992,1.8273810248919367,1.0,1.0,1.0,0.5359477124183006,0.43790849673202614,0.6274509803921569,-0.485241314140605,-0.5348652803357326,-0.4366599956070822,0.485241314140605,0.43839002801531474,0.5362823570043677,-0.6675228510908547,-0.718418476122013,-0.6171258707728435,0.6675228510908547,0.6166157011686056,0.717906317465617,-3.2329054365750234,-3.6158726252542404,-2.8733610363299746,3.2329054365750234,2.8688984515011504,3.6329991367176846,-0.6675228521153895,-0.7161997121449222,-0.6188734168903911,0.6675228521153895,0.6162918870430026,0.7196402774890335,-0.46405228758169936,-0.5555555555555556,-0.37254901960784315,0.46405228758169936,0.37254901960784315,0.5555555555555556,0.299401221621149,0.2532088071659593,0.3530376008175091,0.8518536664404959,0.8224343790550439,0.879558707281666
dev_val,digital_2,153,51,153,0,153,1.0,0.0,1.0,0.09258121639197948,0.0,0.9673202614379085,0.032679738562091505,0.003921585105773475,0.0039215851575136185,0.0,0.00022667646408081055,1.0,1.0,0.9997783100682925,0.9995868978547116,0.9999329018144826,1.3030728589071677e-05,4.3647756907242985e-06,2.857307889456327e-05,14.998841394785963,13.830488857256821,16.243621269472285,-14.818882549510283,-15.50793773629307,-14.15637465318044,0.5459551197641036,0.513794996492029,0.5792064683694466,0.013844586178368213,0.0,0.03582972327088998,6.161298112931594,5.858304841222327,6.441758571574891,0.15245874411140392,0.0,0.3883219295077854,0.5228758169934641,0.41830065359477125,0.6274509803921569,0.006535947712418301,0.0,0.0196078431372549,-0.5321105335857353,-0.5674565823980017,-0.4963560472954723,0.5321105335857353,0.4975654659074506,0.5670474993905016,-0.9771565454446167,-1.0,-0.9411127488148603,0.9771565454446167,0.9411127488148604,1.0,-6.00883936882019,-6.329066330389259,-5.6587225273154145,6.00883936882019,5.654998009033453,6.340056975254046,-0.9771565461809792,-1.0,-0.9411127509540267,0.9771565461809792,0.9411127509540267,1.0,-0.5163398692810458,-0.6274509803921569,-0.40522875816993464,0.5163398692810458,0.40522875816993464,0.6209150326797386,0.24462603330612182,0.10333377122879028,0.36196044087409973,0.8864190101623535,0.8032917082309723,0.973604679107666
official_test,facedancer,150,89,144,0,144,0.96,0.0,1.0,0.06544362436980009,0.0,0.8666666666666667,0.13333333333333333,0.003921585051963727,0.0039215851575136185,0.0,0.0014159679412841797,1.0,1.0,0.954557366296649,0.9103605486782603,0.9870964822518976,9.625806180804849e-05,4.935283407450738e-05,0.00016165202906602444,13.165771029839913,11.56573713453976,14.69242506667978,-11.443108625411988,-11.905378943800068,-11.018372932149092,0.488759491443634,0.463667735662292,0.5132203558834314,0.06372193914062033,0.03268111657094179,0.09694256953820876,7.83289049466451,7.542688035742656,8.118849937416412,0.9474876777889828,0.5054380443059038,1.4290367279940828,0.7,0.5974025974025974,0.7947019867549668,0.08,0.039735099337748346,0.12666666666666668,-0.4250375523030137,-0.4609727453665695,-0.38701712004788663,0.4250375523030137,0.3866889554284221,0.4618972514202695,-0.8723001771958688,-0.9330029771288263,-0.8071621522592608,0.8723001771958688,0.8060611703316886,0.932893774673866,-6.885402816875527,-7.414685614290492,-6.321936120005636,6.885402816875527,6.314147583236637,7.410311652838385,-0.8723001756356951,-0.9310934458269796,-0.8070358772517608,0.8723001756356951,0.8072086116518797,0.9322077200925711,-0.62,-0.7218635025754231,-0.5194681900378104,0.62,0.5170010957403096,0.7234112541993281,0.41774751618504524,0.3241088549910131,0.5122735247564768,0.7646599888801575,0.6955113794654608,0.8324170732652986
