evaluation_split,variant,n,n_clean_correct,n_adv_correct,n_attack_success,clean_attack_accuracy,adv_attack_accuracy,attack_success_rate_clean_correct,clean_p_attack_mean,adv_p_attack_mean,clean_margin_mean,adv_margin_mean,A_mean,E_clean_mean,E_adv_mean,delta_E_mean,relative_E_change_mean,mu_w_clean_mean,mu_w_adv_mean,delta_mu_w_mean,relative_mu_w_change_mean,PG_clean,PG_adv,delta_PG,cam_cosine_mean,cam_tv_mean,clean_zero_cam_fraction,adv_zero_cam_fraction,pixel_linf_mean,pixel_linf_max,padding_max_abs_error,max_saved_probability_abs_error
dev_val,digital_1,24,24,0,24,1.0,0.0,1.0,0.9995536357164383,0.00012073314663959185,12.593902905782064,-11.743909120559692,0.17012887261807919,0.7236300632357597,0.20747803834577402,-0.5161520248899857,-0.6859602135134665,4.4221926629543304,1.2514744748671849,-3.1707181880871453,-0.6859602082418098,1.0,0.5,-0.5,0.3685470319219998,0.8053944110870361,0.0,0.4166666666666667,0.0039215851575136185,0.0039215851575136185,0.0,0.00014930963516235352
dev_val,digital_2,24,24,0,24,1.0,0.0,1.0,0.9992241760094961,4.7098343411422034e-06,15.428186476230621,-14.892577489217123,0.09409068912888567,0.5664925239980221,0.02440774440765381,-0.5420847795903683,-0.9632553359956182,6.227205008268356,0.22035410006841025,-6.006850908199946,-0.9632553382537082,0.4583333333333333,0.0,-0.4583333333333333,0.2504692077636719,0.8985137939453125,0.0,0.9583333333333334,0.0039215851575136185,0.0039215851575136185,0.0,0.00019282102584838867
official_test,facedancer,24,22,0,22,0.9166666666666666,0.0,1.0,0.9135170908023914,1.8173927409511254e-05,12.137215415636698,-12.1041366259257,0.06478983939935763,0.4777000620961189,0.0386814201871554,-0.4390186419089635,-0.9271220355895529,7.701841473579407,0.5190105338891348,-7.182830939690272,-0.9271220340415072,0.75,0.041666666666666664,-0.7083333333333334,0.3739575147628784,0.8104713559150696,0.0,0.9166666666666666,0.003921584827670206,0.0039215851575136185,0.0,0.0009717345237731934
