evaluation_split,variant,attack_success,n,delta_E_mean,delta_E_median,relative_E_change_mean,relative_E_change_median,delta_mu_w_mean,delta_mu_w_median,relative_mu_w_change_mean,relative_mu_w_change_median,delta_PG_mean,cam_cosine_mean,cam_tv_mean,adv_zero_cam_fraction,adv_probability_attack_mean
dev_val,digital_1,True,24,-0.640296737353007,-0.6898631155490875,-0.8995227737518242,-1.0,-4.013858884572983,-4.345276355743408,-0.8995227745656654,-1.0,-0.9166666666666666,0.1680284831672907,0.9171897321939468,0.8333333333333334,8.938338950826584e-13
dev_val,digital_2,True,24,-0.5664925239980221,-0.5662730038166046,-1.0,-1.0,-6.227205008268356,-6.503904104232788,-1.0,-1.0,-0.4583333333333333,0.0,1.0,0.9583333333333334,7.256302868719552e-14
official_test,facedancer,True,22,-0.49835795841433783,-0.5351805686950684,-1.0,-1.0,-7.732477816668424,-7.66228461265564,-1.0,-1.0,-0.8181818181818182,,,1.0,5.268962310925738e-13
