evaluation_split,variant,n,n_clean_correct,n_adv_correct,n_attack_success,clean_attack_accuracy,adv_attack_accuracy,attack_success_rate_clean_correct,clean_p_attack_mean,adv_p_attack_mean,clean_margin_mean,adv_margin_mean,A_mean,E_clean_mean,E_adv_mean,delta_E_mean,relative_E_change_mean,mu_w_clean_mean,mu_w_adv_mean,delta_mu_w_mean,relative_mu_w_change_mean,PG_clean,PG_adv,delta_PG,cam_cosine_mean,cam_tv_mean,clean_zero_cam_fraction,adv_zero_cam_fraction,pixel_linf_mean,pixel_linf_max,padding_max_abs_error,max_saved_probability_abs_error
dev_val,digital_1,24,24,0,24,1.0,0.0,1.0,0.9995536357164383,8.938338950826584e-13,12.593902905782064,-33.418802420298256,0.17012887261807919,0.7236300632357597,0.08333332588275273,-0.640296737353007,-0.8995227737518242,4.4221926629543304,0.40833377838134766,-4.013858884572983,-0.8995227745656654,1.0,0.08333333333333333,-0.9166666666666666,0.1680284831672907,0.9171897321939468,0.0,0.8333333333333334,0.015686292201280594,0.015686292201280594,0.0,0.00014930963516235352
dev_val,digital_2,24,24,0,24,1.0,0.0,1.0,0.9992241760094961,7.256302868719552e-14,15.428186476230621,-37.917277097702026,0.09409068912888567,0.5664925239980221,0.0,-0.5664925239980221,-1.0,6.227205008268356,0.0,-6.227205008268356,-1.0,0.4583333333333333,0.0,-0.4583333333333333,0.0,1.0,0.0,0.9583333333333334,0.015686292201280594,0.015686292201280594,0.0,0.00019282102584838867
official_test,facedancer,24,22,0,22,0.9166666666666666,0.0,1.0,0.9135170908023914,4.832388521675832e-13,12.137215415636698,-33.64022986094157,0.06478983939935763,0.4777000620961189,0.0,-0.4777000620961189,-1.0,7.701841473579407,0.0,-7.701841473579407,-1.0,0.75,0.0,-0.75,,,0.0,1.0,0.015686292201280594,0.015686292201280594,0.0,0.0009717345237731934
