status,oom_phase,oom_message,pilot_order,pilot_role,eval_split,variant,hardware_source,file_stem,image_path,native_width,native_height,native_pixels,frozen_threshold,clean_score,oom_cuda_allocated_gib,oom_cuda_reserved_gib,oom_cuda_free_gib,oom_cuda_total_gib,oom_cuda_peak_allocated_gib,oom_cuda_peak_reserved_gib
OOM,gradient_forward,"CUDA out of memory. Tried to allocate 14.55 GiB. GPU 0 has a total capacity of 31.36 GiB of which 14.12 GiB is free. Including non-PyTorch memory, this process has 17.20 GiB memory in use. Of the allocated memory 16.53 GiB is allocated by PyTorch, and 63.02 MiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://docs.pytorch.org/docs/stable/notes/cuda.html#optimizing-memory-usage-with-pytorch-cuda-alloc-conf)",1,largest_textdiffuser_and_largest_overall,official_test,textdiffuserft_bfei,huawei,chinese2-flickr_M_33552319041_2631ab0a0c_c,test/attack/textdiffuserft_bfei/huawei/chinese2-flickr_M_33552319041_2631ab0a0c_c.jpg,3248,2088,6781824,0.5329559743404388,0.976691961288452,14.91724681854248,16.595703125,14.1168212890625,31.35833740234375,27.852548599243164,27.904296875
OOM,gradient_forward,"CUDA out of memory. Tried to allocate 14.47 GiB. GPU 0 has a total capacity of 31.36 GiB of which 14.21 GiB is free. Including non-PyTorch memory, this process has 17.10 GiB memory in use. Of the allocated memory 16.44 GiB is allocated by PyTorch, and 57.24 MiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://docs.pytorch.org/docs/stable/notes/cuda.html#optimizing-memory-usage-with-pytorch-cuda-alloc-conf)",2,largest_facedancer,official_test,facedancer,huawei,chinese2-flickr_F_16858102101_d4c5c1e7a2_c,test/attack/facedancer/huawei/chinese2-flickr_F_16858102101_d4c5c1e7a2_c.jpg,3253,2073,6743469,0.5329559743404388,0.7599859833717346,14.83437728881836,16.498046875,14.2144775390625,31.35833740234375,27.69652271270752,27.748046875
OOM,gradient_forward,"CUDA out of memory. Tried to allocate 14.24 GiB. GPU 0 has a total capacity of 31.36 GiB of which 11.30 GiB is free. Including non-PyTorch memory, this process has 20.01 GiB memory in use. Of the allocated memory 19.35 GiB is allocated by PyTorch, and 62.22 MiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://docs.pytorch.org/docs/stable/notes/cuda.html#optimizing-memory-usage-with-pytorch-cuda-alloc-conf)",3,large_near_threshold_facedancer,official_test,facedancer,huawei,netherland-flickr_F_20301931855_4cd18f8166_k,test/attack/facedancer/huawei/netherland-flickr_F_20301931855_4cd18f8166_k.jpg,3229,2055,6635595,0.5329559743404388,0.5664751529693604,17.76539659500122,19.408203125,11.3043212890625,31.35833740234375,30.421788692474365,30.482421875
OOM,gradient_forward,"CUDA out of memory. Tried to allocate 13.97 GiB. GPU 0 has a total capacity of 31.36 GiB of which 11.66 GiB is free. Including non-PyTorch memory, this process has 19.66 GiB memory in use. Of the allocated memory 18.99 GiB is allocated by PyTorch, and 66.03 MiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://docs.pytorch.org/docs/stable/notes/cuda.html#optimizing-memory-usage-with-pytorch-cuda-alloc-conf)",4,largest_digital_3,official_test,digital_3,huawei,usa-01_0038_000-0ee87df5_0,test/attack/digital_3/huawei/usa-01_0038_000-0ee87df5_0.jpg,3235,2013,6512055,0.5329559743404388,0.9960507750511168,17.43955945968628,19.056640625,11.6558837890625,31.35833740234375,29.860317707061768,29.916015625
OOM,gradient_forward,"CUDA out of memory. Tried to allocate 13.93 GiB. GPU 0 has a total capacity of 31.36 GiB of which 11.73 GiB is free. Including non-PyTorch memory, this process has 19.58 GiB memory in use. Of the allocated memory 18.93 GiB is allocated by PyTorch, and 49.56 MiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://docs.pytorch.org/docs/stable/notes/cuda.html#optimizing-memory-usage-with-pytorch-cuda-alloc-conf)",5,largest_digital_1,dev_val,digital_1,huawei,turkiye-115_03,train/attack/digital_1/huawei/turkiye-115_03.jpg,3242,2002,6490484,0.5329559743404388,0.6458072066307068,17.382662773132324,18.978515625,11.7340087890625,31.35833740234375,29.762277603149414,29.818359375
OOM,gradient_forward,"CUDA out of memory. Tried to allocate 13.93 GiB. GPU 0 has a total capacity of 31.36 GiB of which 11.73 GiB is free. Including non-PyTorch memory, this process has 19.58 GiB memory in use. Of the allocated memory 18.93 GiB is allocated by PyTorch, and 49.56 MiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://docs.pytorch.org/docs/stable/notes/cuda.html#optimizing-memory-usage-with-pytorch-cuda-alloc-conf)",6,largest_digital_2_same_stem_as_d1,dev_val,digital_2,huawei,turkiye-115_03,train/attack/digital_2/huawei/turkiye-115_03.jpg,3242,2002,6490484,0.5329559743404388,0.6647250652313232,17.382662773132324,18.978515625,11.7340087890625,31.35833740234375,29.762277603149414,29.818359375
