eval_split,group,n_images,n_stems,mean_A,mean_E,mean_mu_w,mean_PG,mean_E_minus_A,mean_E_ci_low,mean_E_ci_high,mean_mu_w_ci_low,mean_mu_w_ci_high,mean_PG_ci_low,mean_PG_ci_high
dev_val,digital_1,153,51,0.15694321551661647,0.5552213295191113,3.904916642227812,1.0,0.39827811400249474,0.5333926606937135,0.577187689188343,3.550584229716616,4.240235728728402,1.0,1.0
dev_val,digital_2,135,51,0.09260722595622971,0.192353124286159,2.090647527402934,0.5037037037037037,0.09974589832992933,0.1712676106403579,0.21595428459107935,1.924269694425251,2.2621951793579087,0.4316040500932587,0.575779694757797
official_test,digital_3,786,262,0.028657409272117115,0.6420200334984264,23.263390264572998,0.9910941475826972,0.6133626242263093,0.627438509711941,0.6565437745004686,22.47626426269142,24.027257401748532,0.9847328244274809,0.9974554707379135
official_test,facedancer,107,74,0.06896233199804151,0.11194378876259879,1.6998217124434698,0.40186915887850466,0.04298145676455729,0.10400519220411256,0.1203501198198251,1.5772524890809652,1.8344573378483784,0.3083932422717469,0.49107142857142855
official_test,textdiffuserft_bfei,149,88,0.04160435303987462,0.7031979312899175,17.130181709992463,1.0,0.6615935782500428,0.6638198355424254,0.7407181269923289,16.230030429891343,18.18794550310587,1.0,1.0
