index,eval_split,hardware_source,traffic_type,count,mean,median,min,max
0,dev_val,huawei,attack,102,0.7719688427214529,0.7714380323886871,0.4896214604377746,0.9963654279708862
1,dev_val,huawei,bonafide,51,0.6293999792314043,0.6189740896224976,0.401920884847641,0.8404611349105835
2,dev_val,iphone15pro,attack,102,0.8034573948266459,0.8717459142208099,0.4304217398166656,0.9979787468910216
3,dev_val,iphone15pro,bonafide,51,0.4331323413872251,0.4272655546665191,0.1898993700742721,0.6885714530944824
4,dev_val,scan,attack,102,0.7585994092857137,0.7134079039096832,0.3656076192855835,0.9997813105583192
5,dev_val,scan,bonafide,51,0.5602040197335038,0.5308727025985718,0.3103232085704803,0.8999127745628357
6,official_test,huawei,attack,361,0.9307483863962654,0.997466206550598,0.458371490240097,0.9999791383743286
7,official_test,huawei,bonafide,100,0.5737004175782203,0.5543741881847382,0.4458786249160766,0.8278880715370178
8,official_test,iphone15,attack,100,0.8014440822601319,0.9864600598812102,0.2914500534534454,0.9999806880950928
9,official_test,iphone15,bonafide,100,0.48292946502566336,0.47116459906101227,0.2270124107599258,0.8565047979354858
10,official_test,iphone15pro,attack,262,0.9965877380534893,0.9996614456176758,0.7862990498542786,0.9999946355819702
11,official_test,scan,attack,362,0.8984721610065323,0.9679760336875916,0.4536973536014557,0.9997780919075012
12,official_test,scan,bonafide,100,0.5828977996110916,0.5735384523868561,0.3248849809169769,0.8776493072509766
