eval_split,variant,population,scope,n_images,n_stems,mean_A,median_A,mean_A_ci_low,mean_A_ci_high,mean_E,median_E,mean_E_ci_low,mean_E_ci_high,mean_mu_w,median_mu_w,mean_mu_w_ci_low,mean_mu_w_ci_high,mean_PG,median_PG,mean_PG_ci_low,mean_PG_ci_high,mean_E_minus_A,median_E_minus_A,mean_E_minus_A_ci_low,mean_E_minus_A_ci_high
dev_val,digital_1,all_attacks,union,153,51,0.15694321551661647,0.14195056106992204,0.1429058044364452,0.17173849783193693,0.5552213009988894,0.5502557768924377,0.5327621391148435,0.5779490992630373,3.9049165087071005,3.5293069305592906,3.5556402786332764,4.249836858257442,1.0,1.0,1.0,1.0,0.398278085482273,0.39103721077883175,0.37404366836561026,0.42289248156060166
dev_val,digital_1,all_attacks,face,153,51,0.14111241226290913,0.12836601036947834,0.12712630192760244,0.15623406066390597,0.35893838138032524,0.34831450330575076,0.3314509455639703,0.3851165863555733,2.8301459761143057,2.3993291196784465,2.5225269303532922,3.1532606585989793,0.006535947712418301,0.0,0.0,0.0196078431372549,0.21782596911741606,0.22016098514666876,0.1927457341948702,0.24204941103133126
dev_val,digital_1,all_attacks,text,153,51,0.015897696791236194,0.015403087478559176,0.014819380331176434,0.017043594138130776,0.19672923774115067,0.13894930306451167,0.1708231185478477,0.22500793445711656,12.710208296255065,9.342612984740368,11.102126137254563,14.413015921030608,1.0,1.0,1.0,1.0,0.1808315409499145,0.1228664381228483,0.15602705916192844,0.20793878989855896
dev_val,digital_1,clean_correct_attacks,union,153,51,0.15694321551661647,0.14195056106992204,0.1428874531557094,0.17175174663094697,0.5552213009988894,0.5502557768924377,0.53303995794112,0.5769568929069607,3.9049165087071005,3.5293069305592906,3.553417138631246,4.2472703064948645,1.0,1.0,1.0,1.0,0.398278085482273,0.39103721077883175,0.37354750673466425,0.42300164618639247
dev_val,digital_1,clean_correct_attacks,face,153,51,0.14111241226290913,0.12836601036947834,0.12730257032269163,0.1560213753183349,0.35893838138032524,0.34831450330575076,0.3315960097902707,0.3852544930757327,2.8301459761143057,2.3993291196784465,2.5345309961448788,3.148852266323609,0.006535947712418301,0.0,0.0,0.0196078431372549,0.21782596911741606,0.22016098514666876,0.19337137523495962,0.242180530552535
dev_val,digital_1,clean_correct_attacks,text,153,51,0.015897696791236194,0.015403087478559176,0.01479626230663354,0.01699704354242546,0.19672923774115067,0.13894930306451167,0.1710979730005054,0.22450803070385447,12.710208296255065,9.342612984740368,11.156604471288164,14.374082720761399,1.0,1.0,1.0,1.0,0.1808315409499145,0.1228664381228483,0.1563595838997006,0.20767866909455535
dev_val,digital_2,all_attacks,union,153,51,0.09089912288982883,0.08257875751503006,0.08294272989737184,0.09955206257165655,0.18780875177182,0.1534058839553822,0.16788805787216113,0.20880822162008045,2.0760134650945705,1.7693914458657827,1.9353640516686124,2.222213203514011,0.49019607843137253,0.0,0.42483660130718953,0.5555555555555556,0.09690962888199114,0.06555770668192024,0.08239105227692693,0.11205643937001569
dev_val,digital_2,all_attacks,face,153,51,0.07550082296702115,0.06832614644131085,0.06768105751546734,0.08378787978800367,0.15696442568736801,0.1256767229894518,0.1380418443735145,0.17628486546849864,2.091893624177152,1.7760384914186709,1.9478301457979637,2.253521619949041,0.11764705882352941,0.0,0.06535947712418301,0.16993464052287582,0.08146360272034683,0.05453121620027222,0.06813492737329539,0.09606753849159644
dev_val,digital_2,all_attacks,text,153,51,0.015400296490553215,0.015093955035116778,0.014420071442416409,0.01639595567262283,0.030847208386834524,0.02403604574442459,0.02726279184537992,0.03467939635157249,1.9804905150717482,1.6321103047813303,1.8294310208143778,2.1448329949857774,0.37254901960784315,0.0,0.3137254901960784,0.43137254901960786,0.015446911896281307,0.008300591138838668,0.01256906455061864,0.01865141643909707
dev_val,digital_2,clean_correct_attacks,union,135,51,0.09260722595622971,0.08333466720362949,0.08395513135474433,0.10168132084461454,0.19235311864662238,0.15702362552834506,0.17011118272536235,0.21557328516110422,2.0906475039977437,1.7622965065595804,1.931666575888951,2.2614418725451126,0.5037037037037037,1.0,0.4316546762589928,0.5757575757575758,0.09974589269039269,0.06568375836710946,0.08378187093786466,0.11704943204155537
dev_val,digital_2,clean_correct_attacks,face,135,51,0.07689507778938108,0.07003651008462797,0.06820836987365402,0.08591390422646741,0.16086215891174332,0.12722463308618503,0.14016919452577772,0.18349229154441046,2.110404078170266,1.762322343966156,1.9370508020354573,2.304433496174581,0.1111111111111111,0.0,0.06382978723404255,0.16535433070866143,0.08396708112236223,0.05436359266471631,0.06887018614713639,0.10045693902394233
