evaluation_split,variant,attack_success,n,delta_E_mean,delta_E_median,relative_E_change_mean,relative_E_change_median,delta_mu_w_mean,delta_mu_w_median,relative_mu_w_change_mean,relative_mu_w_change_median,delta_PG_mean,cam_cosine_mean,cam_tv_mean,adv_zero_cam_fraction,adv_probability_attack_mean
dev_val,digital_1,True,24,-0.6518633148322502,-0.7036246955394745,-0.895725386471554,-1.0,-4.00078992297252,-4.328163206577301,-0.8957253869131101,-1.0,-0.9166666666666666,0.380817748606205,0.8240394443273544,0.8333333333333334,1.3141258786027477e-07
dev_val,digital_2,True,24,-0.5623829867690802,-0.5662730038166046,-0.9950891172488979,-1.0,-6.1977556223670645,-6.503904104232788,-0.9950891174413545,-1.0,-0.4583333333333333,0.005691123194992542,0.9976896047592163,0.9583333333333334,1.4169664344238328e-09
official_test,facedancer,True,22,-0.49835795841433783,-0.5351805686950684,-1.0,-1.0,-7.732477816668424,-7.66228461265564,-1.0,-1.0,-0.8181818181818182,,,1.0,5.914062999498585e-09
