image_path,hardware_source,native_pixels,wall_seconds
train/attack/digital_2/scan/ukraine-NF-1073.jpg,scan,2493004,32.453878524000174
train/attack/digital_2/huawei/russian-NF-1099.jpg,huawei,5775216,365.74847330499324
train/attack/digital_1/huawei/french-NF-1082.jpg,huawei,6320997,740.8321811219976
train/attack/digital_1/iphone15pro/turkiye-101_03.jpg,iphone15pro,5044220,177.8320151349908
train/attack/digital_1/scan/turkiye-NM-1055.jpg,scan,2488008,33.10741826899175
train/attack/digital_1/iphone15pro/chinese-NF-1050.jpg,iphone15pro,4939056,124.32926489300007
train/attack/digital_2/scan/russian-132_03.jpg,scan,2486518,32.512099594001484
train/attack/digital_2/scan/chinese-NF-1050.jpg,scan,2485271,32.16460131399981
train/attack/digital_1/huawei/persian-NF-1097.jpg,huawei,6354078,839.6994524699985
train/attack/digital_1/scan/turkiye-104_03.jpg,scan,2496250,32.97953301400412
train/attack/digital_2/iphone15pro/portugal-NF-1109.jpg,iphone15pro,5142210,334.97418219599786
train/attack/digital_2/scan/french-114_03.jpg,scan,2493750,33.52229865700065
train/attack/digital_2/scan/turkiye-104_03.jpg,scan,2496250,32.588577318005264
train/attack/digital_1/huawei/arabic-120_03.jpg,huawei,6247484,701.9302351819997
train/attack/digital_2/scan/ukraine-NF-1068.jpg,scan,2491008,32.02676944799987
train/attack/digital_2/huawei/persian-NF-1097.jpg,huawei,6354078,876.897395865999
train/attack/digital_1/scan/turkiye-115_03.jpg,scan,2493504,32.96236474899342
train/attack/digital_2/huawei/portugal-013_03.jpg,huawei,5703192,402.3576502989963
train/attack/digital_1/iphone15pro/indian-021_03.jpg,iphone15pro,4966450,155.35658528000204
train/attack/digital_1/scan/chinese-001_03.jpg,scan,2484768,32.07775230799962
train/attack/digital_1/iphone15pro/french-019_03.jpg,iphone15pro,4911995,117.37231219200112
train/attack/digital_1/iphone15pro/turkiye-104_03.jpg,iphone15pro,5023257,166.05614058900392
train/attack/digital_2/scan/arabic-NM-1090.jpg,scan,2489257,32.63269373500043
train/attack/digital_2/scan/ukraine-025_03.jpg,scan,2495745,32.593070675997296
train/attack/digital_1/scan/russian-132_03.jpg,scan,2486518,33.57827041800192
train/attack/digital_1/scan/chinese-142_03.jpg,scan,2495000,32.647539779
train/attack/digital_2/scan/portugal-013_03.jpg,scan,2485512,32.52717396799562
