evaluation_split,variant,selection_scope,evidence_role,area_bin,n_images,n_stems,attack_probability_mean,attack_probability_median,attack_recall_at_0_5,zero_cam_fraction,padding_energy_mean,pointing_padding,face_share_altered_energy_mean,text_share_altered_energy_mean,A_mean,A_median,A_mean_ci_low,A_mean_ci_high,A_median_ci_low,A_median_ci_high,E_mean,E_median,E_mean_ci_low,E_mean_ci_high,E_median_ci_low,E_median_ci_high,mu_w_mean,mu_w_median,mu_w_mean_ci_low,mu_w_mean_ci_high,mu_w_median_ci_low,mu_w_median_ci_high,PG_mean,PG_median,PG_mean_ci_low,PG_mean_ci_high,PG_median_ci_low,PG_median_ci_high,energy_gain_mean,energy_gain_median,energy_gain_mean_ci_low,energy_gain_mean_ci_high,energy_gain_median_ci_low,energy_gain_median_ci_high,face_A_mean,face_A_median,face_A_mean_ci_low,face_A_mean_ci_high,face_A_median_ci_low,face_A_median_ci_high,face_E_mean,face_E_median,face_E_mean_ci_low,face_E_mean_ci_high,face_E_median_ci_low,face_E_median_ci_high,face_mu_w_mean,face_mu_w_median,face_mu_w_mean_ci_low,face_mu_w_mean_ci_high,face_mu_w_median_ci_low,face_mu_w_median_ci_high,face_PG_mean,face_PG_median,face_PG_mean_ci_low,face_PG_mean_ci_high,face_PG_median_ci_low,face_PG_median_ci_high,text_A_mean,text_A_median,text_A_mean_ci_low,text_A_mean_ci_high,text_A_median_ci_low,text_A_median_ci_high,text_E_mean,text_E_median,text_E_mean_ci_low,text_E_mean_ci_high,text_E_median_ci_low,text_E_median_ci_high,text_mu_w_mean,text_mu_w_median,text_mu_w_mean_ci_low,text_mu_w_mean_ci_high,text_mu_w_median_ci_low,text_mu_w_median_ci_high,text_PG_mean,text_PG_median,text_PG_mean_ci_low,text_PG_mean_ci_high,text_PG_median_ci_low,text_PG_median_ci_high
dev_val,digital_1,all_attacks,heldout_primary,all,153,51,0.9997553934458814,0.9999979734420776,1.0,0.0,0.0029946975091119017,0.0,0.9237968579883407,0.0762031420116591,0.1589752484393536,0.14398513812576313,0.14503177784059076,0.1742616103100318,0.13011087200598803,0.1607337364783654,0.7066456609302096,0.7084750533103943,0.6774502727282203,0.736104727419568,0.6736665368080139,0.7440676093101501,4.774537444322275,4.7266918597600736,4.455387372826248,5.086166567342872,4.350925857679373,5.121440453274405,1.0,1.0,1.0,1.0,1.0,1.0,0.5476704124908561,0.5536465157297187,0.5234933299189346,0.5719027074115475,0.531212702198165,0.5724417766885894,0.1424171409456948,0.1292605161097852,0.12838058862688143,0.15769272792144465,0.11361115361077112,0.1463081001805054,0.6578061513456643,0.6618700623512268,0.6233254892471569,0.6919001385666965,0.6234256029129028,0.701974630355835,5.053088240953875,4.915559751246043,4.660576599253038,5.439027488577355,4.465595283100716,5.438528331397526,0.8758169934640523,1.0,0.7908496732026143,0.9477124183006536,1.0,1.0,0.01663300409789998,0.015946191051995164,0.015504656668712627,0.017777417822824486,0.014373180912990197,0.01802267957089552,0.04891552850512751,0.04804730415344238,0.04249827959456822,0.055541483656403566,0.039843715727329254,0.05272955819964409,2.8958242897765625,2.8133260005515233,2.563387767485856,3.243437000165706,2.534100945082249,3.107121517783717,0.12418300653594772,0.0,0.05228758169934641,0.20915032679738563,0.0,0.0
dev_val,digital_1,all_attacks,heldout_primary,small,7,3,0.999907306262425,0.999994158744812,1.0,0.0,0.00034250139080021266,0.0,0.8998728206591575,0.10012717934084248,0.08257789476473594,0.08133797429620564,0.0743980691687345,0.08849975032752402,0.0743980691687345,0.08925875603864734,0.5412337524550301,0.5449699759483337,0.4575006067752838,0.5839971502621969,0.4575006067752838,0.6026114225387573,6.544988848329537,6.653054537702802,6.149361292396908,6.626371807505247,6.149361292396909,6.703525516546766,1.0,1.0,1.0,1.0,1.0,1.0,0.45865585769029416,0.4586241820913655,0.38310253760654933,0.49549739993467284,0.38310253760654933,0.5127167214518008,0.06663876319529105,0.06351600749694003,0.0559863523573201,0.07611290196701784,0.0559863523573201,0.07583455993357488,0.48946536438805716,0.5067698955535889,0.3771330416202545,0.5534635186195374,0.3771330416202545,0.5744143724441528,7.341180527564743,7.4256015305215195,6.736160255865376,7.616637423812855,6.736160255865377,7.930638212087512,1.0,1.0,1.0,1.0,1.0,1.0,0.015939131569444886,0.01757328454151177,0.012386848360506192,0.018667219697727073,0.011893439440993789,0.018411716811414392,0.05176836172384875,0.04905576631426811,0.030533602461218834,0.0803675726056099,0.029995620250701904,0.0803675726056099,3.153137366209663,2.9967010004369943,2.4759701733513118,4.365023285378027,2.2344444327186017,4.365023285378027,0.0,0.0,0.0,0.0,0.0,0.0
dev_val,digital_1,all_attacks,heldout_primary,medium,54,20,0.9998753114982888,0.9999975562095642,1.0,0.0,0.0022634817771716,0.0,0.9184091390396063,0.0815908609603938,0.11527160074526917,0.1150906341489688,0.11104130709672295,0.11949014803458974,0.10931691449814127,0.11866442991955446,0.6470920178625319,0.6585783064365387,0.611204726919018,0.6830347854490006,0.6228739321231842,0.6785580515861511,5.647010646659859,5.762596395546284,5.278412886934383,6.019644193761514,5.214054535503564,6.005653982416525,1.0,1.0,1.0,1.0,1.0,1.0,0.5318204171172627,0.5417237232551539,0.49600669640882367,0.5667791412430492,0.5098442659692834,0.5715553724794364,0.09837774777976442,0.09475683558226349,0.0944003069334937,0.10260299762413183,0.09255046169108669,0.1028594827466682,0.5984590197051013,0.6110205054283142,0.552255105339582,0.6438261662609874,0.5657523274421692,0.6520415544509888,6.108710429351106,6.352862230767299,5.629922458741592,6.586697314585292,5.638103257288339,6.535724171977529,0.8518518518518519,1.0,0.7068965517241379,0.9778014184397159,1.0,1.0,0.01689385296550472,0.016111814860357305,0.014734554713349755,0.01910245919365013,0.012808038426488456,0.020213799198029344,0.04863299435021839,0.04521668888628483,0.03680363823802286,0.061009882894166576,0.03152386471629143,0.060736123472452164,2.748042123233613,2.630208955888482,2.2706797933366163,3.2072290688122704,2.359203793775661,3.1330990831167917,0.14814814814814814,0.0,0.022198581560283696,0.29310344827586204,0.0,0.0
dev_val,digital_1,all_attacks,heldout_primary,large,92,33,0.9996734481790791,0.9999980330467224,1.0,0.0,0.0036256868825136203,0.0,0.9287795219506884,0.07122047804931175,0.1904402316046023,0.18705980021936316,0.1748930510614759,0.20636190447656494,0.15601895960365852,0.2060628352205006,0.7541867488104365,0.7498756945133209,0.7207491222902025,0.7869352222460767,0.7242763042449951,0.7879549264907837,4.1277253491670525,4.117368064786104,3.828984803133617,4.425757389257358,3.8109769104863047,4.61164053024182,1.0,1.0,1.0,1.0,1.0,1.0,0.5637465172058341,0.5696164253549997,0.5312566761954993,0.5959309386624531,0.541268676162052,0.5977414188274767,0.17403209611105422,0.1698082175036826,0.1584446909241211,0.18994903133279317,0.13932801324658958,0.1885324680267966,0.7054488754466824,0.7131005227565765,0.664255219396323,0.7456047429527709,0.6660284101963043,0.7396647334098816,4.259389934652499,4.268861920084108,3.900006066017949,4.6113982697806195,3.9493248375328456,4.817239858326476,0.8804347826086957,1.0,0.7634408602150538,0.9753376906318079,1.0,1.0,0.0165326918027753,0.015940402215508905,0.015301972216570064,0.017876424375919204,0.014595908465770172,0.01802267957089552,0.04886430037288886,0.04813956096768379,0.04082287213566974,0.05760361761520239,0.0399940051138401,0.05324175953865051,2.962987827366645,2.975736344098328,2.486933100023299,3.4870614315172666,2.5071034251957847,3.2528547575913063,0.11956521739130435,0.0,0.02466230936819173,0.23655913978494625,0.0,0.0
dev_val,digital_2,all_attacks,heldout_primary,all,153,51,0.9997783100682925,0.9999996423721313,1.0,0.0,0.0045760778628032486,0.0,0.9879855988358445,0.01201440116415556,0.09258121639738075,0.08437786172161173,0.08453540138744291,0.10172520217520203,0.07500193378712872,0.09254643992130751,0.5459551197641036,0.5196416974067688,0.5133773183900546,0.5779537340686992,0.4952421486377716,0.5693032741546631,6.161298116882083,6.474623287054366,5.859529460835703,6.432536894401695,6.069680244546015,6.673728975474342,0.5228758169934641,1.0,0.4117647058823529,0.6274509803921569,0.0,1.0,0.4533739033667229,0.4335412383079529,0.427093273728871,0.4799042713440058,0.4087312920265887,0.4598881500848332,0.07647365005416401,0.06936061597472924,0.06849634437120343,0.08536364645231921,0.05842225609756098,0.07964571672885572,0.5397996742740955,0.5169247388839722,0.5074576214296755,0.5720367365510635,0.4885227084159851,0.5629598498344421,7.587634118261086,7.938059169982885,7.156021458710043,7.981812798706113,7.376232715330195,8.464817157897844,0.5228758169934641,1.0,0.4117647058823529,0.6274509803921569,0.0,1.0,0.016111260882610546,0.01575585452853598,0.015128220480879296,0.01714130623461807,0.014205423362175526,0.01749042399878641,0.006171168523108999,0.0033721737563610077,0.004631409450878968,0.007894010188733789,0.0012839778792113066,0.005689145065844059,0.3575444540055076,0.2071585830805923,0.2796488533970908,0.4418487080045438,0.10597063116699608,0.35584428323773554,0.0,0.0,0.0,0.0,0.0,0.0
dev_val,digital_2,all_attacks,heldout_primary,small,97,34,0.9997522234916687,0.9999984502792358,1.0,0.0,0.0013145973266345497,0.0,0.9869251687765316,0.013074831223468404,0.07343311056971365,0.07224431818181819,0.06981468009745628,0.07707080501756816,0.06822789167686659,0.0780891409118727,0.48544969878245875,0.4866067171096802,0.45878873664621445,0.5114922729509928,0.4576656222343445,0.5055977702140808,6.639554186949165,6.720229155595279,6.394113776527539,6.854626639719297,6.51163306199599,6.901255338450161,0.32989690721649484,0.0,0.22105263157894736,0.44680851063829785,0.0,0.0,0.41201658821274517,0.4070251690307962,0.3880642204482237,0.4352280413640993,0.3868263486553641,0.4275086293022081,0.05760010402525707,0.05597842717258262,0.05400000490939389,0.06135575291904898,0.05174476002430134,0.06109784546100233,0.4793355071667543,0.4793008267879486,0.45291982907248607,0.5058357762925803,0.4548598527908325,0.5013523697853088,8.417135475817675,8.609749165016515,8.102748812000042,8.68816976358018,8.228548418163246,8.878595817956642,0.32989690721649484,0.0,0.22105263157894736,0.44680851063829785,0.0,0.0,0.015833006544456574,0.015083657661782662,0.014509266710742293,0.01722101716580391,0.01328412224264706,0.01749042399878641,0.006114193200543198,0.0021447381004691124,0.003927193299679478,0.008496676102285246,0.0003996351733803749,0.00474251713603735,0.3484004986449139,0.14787974594281159,0.23814451346200577,0.46559263227041336,0.029349014220971945,0.3173389976756895,0.0,0.0,0.0,0.0,0.0,0.0
dev_val,digital_2,all_attacks,heldout_primary,medium,42,18,0.999982530162448,0.9999998807907104,1.0,0.0,0.007046698510791993,0.0,0.9900434089386543,0.009956591061345664,0.11327768601481772,0.11279811787725788,0.1091244686587923,0.11738463673994128,0.10656367169822784,0.1177204319120595,0.6340206343503225,0.647009551525116,0.5906585935507571,0.6800875099021054,0.5575840473175049,0.691210925579071,5.632143919086339,5.76053971406656,5.230490195460795,6.059829514636689,4.774650602227571,6.477342191892281,0.8333333333333334,1.0,0.717391304347826,0.9412184873949574,1.0,1.0,0.5207429483355048,0.5356683097417352,0.4777317734142244,0.5652665378103723,0.44016154616852554,0.5865126529471766,0.09672856765541409,0.0952826168667508,0.09198686825139911,0.10164664383007659,0.08989310694945848,0.10191404291205741,0.628041223401115,0.6452347934246063,0.583958818235745,0.6746905778793663,0.553938090801239,0.6909909844398499,6.565120652764992,6.53120016873023,6.067323043789582,7.0978095437535655,5.617652529134141,7.469308346076508,0.8333333333333334,1.0,0.717391304347826,0.9412184873949574,1.0,1.0,0.01654911835940361,0.01617507021304389,0.015101356769348966,0.01802627380395457,0.014595908465770172,0.018345593826034064,0.005979408243042545,0.0050019449554383755,0.004222063110972319,0.007855888264318996,0.002047048881649971,0.007428585086017847,0.36189913879675073,0.27063833928789505,0.25584901525208203,0.4747272981424637,0.11426695398819012,0.40581169710096604,0.0,0.0,0.0,0.0,0.0,0.0
dev_val,digital_2,all_attacks,heldout_primary,large,14,7,0.9993463924952916,1.0,1.0,0.0,0.019761616776577284,0.0,0.9891594339383681,0.010840566061631973,0.16316082649390604,0.15474723261372475,0.14219284455441797,0.17886534099312315,0.13910748106060605,0.1850788890586797,0.7009747070925576,0.6995807886123657,0.6441563677456644,0.7698200898278842,0.6172969341278076,0.7822810411453247,4.435129367661678,4.603360989579471,3.7281833445609815,5.401830612840232,3.3852550850287826,5.449269548612109,0.9285714285714286,1.0,0.8,1.0,1.0,1.0,0.5378138805986517,0.5333480885592091,0.4674164781538949,0.6269284075656404,0.4349482133895123,0.6387239947987063,0.14647560902212606,0.13513538027213706,0.12691329082355277,0.16155443052727267,0.12558238636363636,0.16773475702933985,0.6940053275653294,0.6982956230640411,0.6328164809628537,0.7650928009640087,0.6027883291244507,0.7677342295646667,4.907915108821577,5.143709958221745,4.076689497931495,6.017068071956558,3.6834321319141137,6.2569963347506885,0.9285714285714286,1.0,0.8,1.0,1.0,1.0,0.016725593509440993,0.017519816164910308,0.013952935382389326,0.018642894915315178,0.013525094696969697,0.019353053721488597,0.007141206955371412,0.006355344085022807,0.0029229374649730744,0.012676951983435587,6.303144800767768e-06,0.01454679574817419,0.40783494748732046,0.3976518784401277,0.1766426088805637,0.7046851457946923,0.0006247965755373841,0.8403371585845782,0.0,0.0,0.0,0.0,0.0,0.0
official_test,digital_3,clean_correct_at_0.5,exploratory_clean_correct,all,6,4,0.7335763076941172,0.7385642826557159,1.0,0.0,0.003917779554891847,0.0,0.0,1.0,0.02601111807274949,0.026519705022937455,0.022341336684795536,0.029390278346310323,0.021679925976800976,0.029411764705882353,0.0007448915154479133,0.0003195033277734183,6.381304202867406e-05,0.0016690489532525785,0.0,0.0018450712086632848,0.03366929587977783,0.012155665714698321,0.0023667514096262074,0.07717336939666995,0.0,0.08613258006146329,0.0,0.0,0.0,0.0,0.0,0.0,-0.02526622655730158,-0.026200201695164037,-0.029326465304281648,-0.020672287731542956,-0.029411764705882353,-0.019694654748323617,,,,,,,,,,,,,,,,,,,,,,,,,0.02601111807274949,0.026519705022937455,0.022341336684795536,0.029390278346310323,0.021679925976800976,0.029411764705882353,0.0007448915154479133,0.0003195033277734183,6.381304202867406e-05,0.0016690489532525785,0.0,0.0018450712086632848,0.03366929587977783,0.012155665714698321,0.0023667514096262074,0.07717336939666995,0.0,0.08613258006146329,0.0,0.0,0.0,0.0,0.0,0.0
official_test,digital_3,clean_correct_at_0.5,exploratory_clean_correct,small,6,4,0.7335763076941172,0.7385642826557159,1.0,0.0,0.003917779554891847,0.0,0.0,1.0,0.02601111807274949,0.026519705022937455,0.022341336684795536,0.029390278346310323,0.021679925976800976,0.029411764705882353,0.0007448915154479133,0.0003195033277734183,6.381304202867406e-05,0.0016690489532525785,0.0,0.0018450712086632848,0.03366929587977783,0.012155665714698321,0.0023667514096262074,0.07717336939666995,0.0,0.08613258006146329,0.0,0.0,0.0,0.0,0.0,0.0,-0.02526622655730158,-0.026200201695164037,-0.029326465304281648,-0.020672287731542956,-0.029411764705882353,-0.019694654748323617,,,,,,,,,,,,,,,,,,,,,,,,,0.02601111807274949,0.026519705022937455,0.022341336684795536,0.029390278346310323,0.021679925976800976,0.029411764705882353,0.0007448915154479133,0.0003195033277734183,6.381304202867406e-05,0.0016690489532525785,0.0,0.0018450712086632848,0.03366929587977783,0.012155665714698321,0.0023667514096262074,0.07717336939666995,0.0,0.08613258006146329,0.0,0.0,0.0,0.0,0.0,0.0
