global_order,image_path,variant,hardware_source,native_pixels,image_dir,marker_sha256,wall_seconds,gradient_seconds,reference_seconds
255,train/attack/digital_2/scan/ukraine-NF-1106.jpg,digital_2,scan,2489012,/home/u5757978/ForgedDocDeepID/output/LABPC/trufor_adversarial_localisation_attack/full_population/images/255_808025317e23,33975a7ff624ce29b092e3b1767ad60ee18362027bb198d1c614019629aa7838,36.412663963999876,18.545279931995537,9.848642262000794
256,train/attack/digital_1/huawei/usa-034_03.jpg,digital_1,huawei,6305229,/home/u5757978/ForgedDocDeepID/output/LABPC/trufor_adversarial_localisation_attack/full_population/images/256_18f7a98c4240,4ce53fbfa082d91292d500b09156766889cbf54af96f019ff5d5133eaf3d0c04,3150.359731054001,2670.6145176610007,437.5116913119982
257,train/attack/digital_1/iphone15pro/usa-034_03.jpg,digital_1,iphone15pro,5041140,/home/u5757978/ForgedDocDeepID/output/LABPC/trufor_adversarial_localisation_attack/full_population/images/257_6799654928ab,6fd7ff012691e5be59ccb8294e07df7e981da1979abd3d42f8a0492f5067980f,198.99739198299903,131.56083959600255,45.98651960699863
258,train/attack/digital_1/scan/usa-034_03.jpg,digital_1,scan,2491250,/home/u5757978/ForgedDocDeepID/output/LABPC/trufor_adversarial_localisation_attack/full_population/images/258_3b8af47e8bc6,266208674c4f29f5f1100f3b026b63736c56392fa87d477297404c4123efacf7,32.23796127800051,17.326840189001814,6.972633981997205
259,train/attack/digital_2/huawei/usa-034_03.jpg,digital_2,huawei,6305229,/home/u5757978/ForgedDocDeepID/output/LABPC/trufor_adversarial_localisation_attack/full_population/images/259_5fae0f73f135,9b326d9c2862abb418d2b64c980cd4ae16910be436fe17c64a080ac6c04807e9,878.1844130169993,436.2325719010041,399.12992549199953
260,train/attack/digital_2/iphone15pro/usa-034_03.jpg,digital_2,iphone15pro,5041140,/home/u5757978/ForgedDocDeepID/output/LABPC/trufor_adversarial_localisation_attack/full_population/images/260_dc4ce9de852f,3634d309bae2691531f2f10d5494dfa11eaea7087b6fc38b23bbe74b68ab4497,197.0325162779991,131.9552540500008,44.18860977099939
261,train/attack/digital_2/scan/usa-034_03.jpg,digital_2,scan,2491250,/home/u5757978/ForgedDocDeepID/output/LABPC/trufor_adversarial_localisation_attack/full_population/images/261_02374b29b3d3,f1426fe0721f0a4852e5e43473db1c266b343d8096d68dd9f2c9b5d24e8f05db,32.02648221100026,17.334541961998184,6.999118130004717
262,train/attack/digital_1/huawei/usa-067_03.jpg,digital_1,huawei,5804535,/home/u5757978/ForgedDocDeepID/output/LABPC/trufor_adversarial_localisation_attack/full_population/images/262_ad0291cdb7df,352382448171a401c2b497a2a9b1673b9aa9abce8a1e1f4c68226378ea3096e6,579.6335882179992,319.1547448729998,224.3123199399979
263,train/attack/digital_1/iphone15pro/usa-067_03.jpg,digital_1,iphone15pro,4231231,/home/u5757978/ForgedDocDeepID/output/LABPC/trufor_adversarial_localisation_attack/full_population/images/263_31f2d45c67aa,9f64d81fbd5cc74aecd6e56b78d3b10389708ff98d94b954fb2f48f6c62b4952,64.70680498000002,38.33837519200097,14.020047154997883
264,train/attack/digital_1/scan/usa-067_03.jpg,digital_1,scan,2492256,/home/u5757978/ForgedDocDeepID/output/LABPC/trufor_adversarial_localisation_attack/full_population/images/264_4a9ef7617e47,08f63d085352c900903628c586346dd95aa2c108abadafce25c53143595a03db,32.98064969299958,17.446022758000254,6.973519266995936
