evaluation_population,detector,group,n,n_attack,n_bonafide,auroc,balanced_accuracy,attack_recall,bonafide_specificity,mean_attack_probability,median_attack_probability,mean_bonafide_probability,median_bonafide_probability
full_1385_reference,controlled,all,1385,1085,300,0.2338033794162826,0.4322043010752688,0.16774193548387098,0.6966666666666667,0.18906193526659143,0.0156021118164062,0.3447797139485677,0.17877197265625
full_1385_reference,controlled,digital_3,1086,786,300,0.05864503816793892,0.3521501272264631,0.007633587786259542,0.6966666666666667,0.02741124672440776,0.00825119018554685,0.3447797139485677,0.17877197265625
full_1385_reference,controlled,facedancer,450,150,300,0.9581111111111111,0.8283333333333334,0.96,0.6966666666666667,0.9545660400390625,1.0,0.3447797139485677,0.17877197265625
full_1385_reference,controlled,textdiffuserft_bfei,449,149,300,0.4286241610738255,0.4557158836689038,0.21476510067114093,0.6966666666666667,0.2711547237114618,0.1253662109375,0.3447797139485677,0.17877197265625
full_1385_reference,augmented,all,1385,1085,300,0.26191551459293394,0.5071351766513057,0.1576036866359447,0.8566666666666667,0.19925080048873128,0.03778076171875,0.2407848103841146,0.117889404296875
full_1385_reference,augmented,digital_3,1086,786,300,0.08927056827820187,0.43342239185750636,0.010178117048346057,0.8566666666666667,0.052471578272851066,0.03253173828125,0.2407848103841146,0.117889404296875
full_1385_reference,augmented,facedancer,450,150,300,0.9666444444444445,0.9016666666666666,0.9466666666666667,0.8566666666666667,0.938189697265625,1.0,0.2407848103841146,0.117889404296875
full_1385_reference,augmented,textdiffuserft_bfei,449,149,300,0.46318791946308724,0.4988031319910515,0.14093959731543623,0.8566666666666667,0.22963760683200504,0.09576416015625,0.2407848103841146,0.117889404296875
