population,variant,n_patch_rows,n_patch_pairs,n_stems,patch_auc,patch_balanced_accuracy,document_auc_max,document_auc_mean,metric_scope
dev_val,all,1700,850,51,0.9999709342560553,0.9970588235294118,1.0,1.0,population
dev_val,digital_1,878,439,51,0.9999792446074897,0.9977220956719818,1.0,1.0,population
dev_val,digital_2,822,411,50,0.9999615204740677,0.9963503649635037,1.0,1.0,population
digital3_dev,all,882,441,51,0.6763539883073411,0.5612244897959183,0.7398009312657525,0.7384339356657696,population
digital3_dev,digital_3,882,441,51,0.6763539883073411,0.5612244897959183,0.7398009312657525,0.7384339356657696,population
