split,variant,field_name,n_pairs,n_stems,same_source_auc,mean_probability_delta,median_probability_delta,mean_feature_shift_norm,mean_axis_projection,mean_axis_cosine,fraction_positive_projection,mean_cos_train_global,mean_cos_train_same_field,mean_gray_mad_inside,mean_lap_mad_inside,mean_changed_inside_ge5,mean_annotation_coverage
dev_val,digital_1,alternative,9,3,1.0,0.9965338327243756,0.9995310576261626,25.6729802025689,19.653644858803442,0.7663525028680466,1.0,0.9276404778162638,0.9918956094317966,57.32300355699327,17.479318724738228,0.857436264498239,0.9131669172490666
dev_val,digital_1,dob,145,50,1.0,0.9921854669674707,0.9990472696204911,18.07729568152592,15.02215006649506,0.8300276454636252,1.0,0.9819168542993479,0.9811487058113362,58.2796086278455,18.359853290689404,0.8098724552659973,0.9734566295385423
dev_val,digital_1,doe,141,51,1.0,0.9919244953780532,0.9991449155211019,19.043257070771347,15.841739728734916,0.8310711272418505,1.0,0.983510618091475,0.980600413278485,57.19240137194911,17.516745638340076,0.804019274931045,1.0
dev_val,digital_1,name,99,33,0.9996939087848179,0.9724117862040885,0.9987513844364436,22.954216147914078,18.26106442366299,0.7978606304103035,1.0,0.9553752330818561,0.9706431386446712,52.6977450823543,17.153250289685797,0.8274656504833291,0.9349399174391486
dev_val,digital_1,name_en,42,14,1.0,0.9879840471581576,0.9994882686746547,20.1926665079026,16.420856990069545,0.814713561557548,1.0,0.9701695470582872,0.9723972380161285,49.58529395148868,16.999997967765445,0.7192259652953923,0.9698527295169184
dev_val,digital_1,name_other,3,1,1.0,0.970689295903998,0.9902572999349641,22.70604070027669,18.466982989580348,0.8122994420716898,1.0,0.9715949098269144,,56.82395680745443,22.553620020548504,0.8805294629534056,1.0
dev_val,digital_2,alternative,9,3,1.0,0.9965339727942829,0.9995310601716273,26.559112972683376,20.586637000970555,0.7757834639641445,1.0,0.9376697738965353,0.9920517736011081,56.22135670979818,19.390319718254936,0.7645936595797367,0.9131669172490666
dev_val,digital_2,dob,123,43,1.0,0.9842860392926347,0.9988329387133922,17.17333504436462,14.181787812982723,0.8211129313624062,1.0,0.9658737323148464,0.9697575612765986,57.181364261037935,20.143962736052227,0.7564121123369315,0.9883998229428105
dev_val,digital_2,doe,138,50,1.0,0.9912051748438994,0.9989470678704557,17.37045751101729,14.405465811249375,0.8278663561164592,1.0,0.9715246657530466,0.9765582594318666,52.09948998603268,19.06080541057863,0.7280845703421213,1.0
dev_val,digital_2,name,99,33,0.9997959391898785,0.9758068648591706,0.9988432529092821,23.779788306265168,19.160224444346138,0.8071485949153684,1.0,0.9643874920979895,0.9748834835158454,52.63986780185892,19.173905887989083,0.7364841898069111,0.9391349810866859
dev_val,digital_2,name_en,39,13,1.0,0.9854439865193465,0.9991771114435648,19.616290899423454,16.021663200073572,0.8159903933668274,1.0,0.9652297833026984,0.968086227392539,49.20331534361228,19.38549862152491,0.6725812299257677,0.9888196045668725
dev_val,digital_2,name_other,3,1,1.0,0.9706885509384864,0.9902567416285387,19.51738707224528,16.122043251565447,0.8255446722129816,1.0,0.982960561911265,,48.01004409790039,23.052377382914226,0.8354593091130534,1.0
digital3_dev,digital_3,alternative,9,3,0.8271604938271605,0.4578809313977744,0.4163441300622701,9.087890863418579,6.42666989240731,0.5600198646490759,1.0,0.640987673567401,0.5352601971891191,52.142640855577255,22.89267921447754,0.6985271925026092,0.8523807261492147
digital3_dev,digital_3,dob,147,51,0.6465824425008098,0.08094482914182426,0.0008171502040899847,4.951559747157454,1.2391742926976412,0.15058417520515038,0.6598639455782312,0.15723219722272594,0.16720869728256346,40.4872191292899,24.74080567781617,0.6565215432478113,0.968026391549159
digital3_dev,digital_3,doe,141,51,0.6434786982546149,0.044952314522500494,0.0004652547740799747,4.714437465295724,1.1052885061183757,0.1500046979499937,0.6382978723404256,0.15641584238103518,0.16275460686508222,36.85678885169063,24.197977106621924,0.6732817466312614,0.98398099563221
digital3_dev,digital_3,name,99,33,0.8091011121314151,0.337654492068753,0.026627712869143116,7.4859888397081935,4.317143723582161,0.3624062999336151,0.7676767676767676,0.4140502453565296,0.3856419702671995,47.579400264855586,24.24673246133207,0.691571560192141,0.8937223187717747
digital3_dev,digital_3,name_en,42,14,0.6377551020408163,0.03380826055204027,9.210422881407458e-05,4.774733043852306,1.0384594740119606,0.09867027255590674,0.5714285714285714,0.10572953484508962,0.1056013517303481,44.1886838277181,26.433228628976003,0.6215940125229034,0.9810894477596073
digital3_dev,digital_3,name_other,3,1,0.4444444444444445,-0.01247161214945656,0.00015646085713429228,4.772176901499431,-0.7623718271542125,-0.05434072257471656,0.6666666666666666,-0.06310925881067912,,43.199536641438804,34.28854751586914,0.7899276374939097,1.0
